Sentence,Labels,POS,Words
যখন সন্ধ্যা হবে তখন আমার ডেন্টিস্টের সাথে অ্যাপয়েন্টমেন্ট আছে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'সন্ধ্যা', 'হবে', 'তখন', 'আমার', 'ডেন্টিস্টের', 'সাথে', 'অ্যাপয়েন্টমেন্ট', 'আছে']"
যখন ফল গণনা হয় তখন মেয়র পুনরায় নির্বাচিত হন,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'ফল', 'গণনা', 'হয়', 'তখন', 'মেয়র', 'পুনরায়', 'নির্বাচিত', 'হন']"
যখন সকাল হবে তখন রমেন বাজারে যাবে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'সকাল', 'হবে', 'তখন', 'রমেন', 'বাজারে', 'যাবে']"
যতই পড়িবে তত শিখিবে,Complex,"['অব্যয়', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া']","['যতই', 'পড়িবে', 'তত', 'শিখিবে']"
যদিও সে চালাক বটে তবে আমিও বোকা নই,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যদিও', 'সে', 'চালাক', 'বটে', 'তবে', 'আমিও', 'বোকা', 'নই']"
যখন সে মিষ্টি কথা বলত তখন সুর তাহার কানে বাজিত,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'সে', 'মিষ্টি', 'কথা', 'বলত', 'তখন', 'সুর', 'তাহার', 'কানে', 'বাজিত']"
কেটি তার ক্যাপুচিনোতে চুমুক দিল।,Simple,"['বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['কেটি', 'তার', 'ক্যাপুচিনোতে', 'চুমুক', 'দিল।']"
কাজে দেরী হওয়ার তুচ্ছ ছিলাম,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া']","['কাজে', 'দেরী', 'হওয়ার', 'তুচ্ছ', 'ছিলাম']"
কফি মাইক্রোওয়েভে গরম করেছিলাম।,Simple,"['বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['কফি', 'মাইক্রোওয়েভে', 'গরম', 'করেছিলাম।']"
ধনীহওয়া স্বত্তেও তিনি অসুখী ছিলেন।,Simple,"['বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['ধনীহওয়া', 'স্বত্তেও', 'তিনি', 'অসুখী', 'ছিলেন।']"
কম্পিউটারটি নষ্ট হয়ে গেছে দেখে তিনি সেটি ফিরিয়ে দেন।,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['কম্পিউটারটি', 'নষ্ট', 'হয়ে', 'গেছে', 'দেখে', 'তিনি', 'সেটি', 'ফিরিয়ে', 'দেন।']"
আমার সময় কম থাকার কারনে আমাকে ট্রেন ধরতে হয়েছিল,Simple,"['সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['আমার', 'সময়', 'কম', 'থাকার', 'কারনে', 'আমাকে', 'ট্রেন', 'ধরতে', 'হয়েছিল']"
বেশি দামে গ্রাহকরা পণ্য কিনেন না,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['বেশি', 'দামে', 'গ্রাহকরা', 'পণ্য', 'কিনেন', 'না']"
আমাদের তাড়াতাড়ির জন্য আমার টুথব্রাশ প্যাক করতে ভুলে গিয়েছিলাম।,Simple,"['সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['আমাদের', 'তাড়াতাড়ির', 'জন্য', 'আমার', 'টুথব্রাশ', 'প্যাক', 'করতে', 'ভুলে', 'গিয়েছিলাম।']"
উচ্চাকাঙ্ক্ষীর জন্য তিনি অল্প সময়ের মধ্যেই একজন ম্যানেজার হয়েছিলেন।,Simple,"['বিশেষ্য', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['উচ্চাকাঙ্ক্ষীর', 'জন্য', 'তিনি', 'অল্প', 'সময়ের', 'মধ্যেই', 'একজন', 'ম্যানেজার', 'হয়েছিলেন।']"
আপনি সব জায়গাতে সর্বদা সৌন্দর্য খুঁজে পেতে পারেন।,Simple,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['আপনি', 'সব', 'জায়গাতে', 'সর্বদা', 'সৌন্দর্য', 'খুঁজে', 'পেতে', 'পারেন।']"
চিরসবুজ গাছগুলি শীতকালে তারা মারা যায় না।,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['চিরসবুজ', 'গাছগুলি', 'শীতকালে', 'তারা', 'মারা', 'যায়', 'না।']"
মুভিট দীর্ঘ থাকা স্বত্তেও উপভোগ্য ছিল।,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['মুভিট', 'দীর্ঘ', 'থাকা', 'স্বত্তেও', 'উপভোগ্য', 'ছিল।']"
সার্ভিসিং না করলে গাড়ি টি অদ্ভুত শব্দ করবে,Simple,"['বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['সার্ভিসিং', 'না', 'করলে', 'গাড়ি', 'টি', 'অদ্ভুত', 'শব্দ', 'করবে']"
ছোট হওয়া স্বত্তেও সিনেমায় অংশ পেয়ে খুশি অভিনেত,Simple,"['বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'বিশেষ্য']","['ছোট', 'হওয়া', 'স্বত্তেও', 'সিনেমায়', 'অংশ', 'পেয়ে', 'খুশি', 'অভিনেত']"
"টর্নেডো আঘাত করার পরে, খুব কম লোক দাঁড়িয়ে ছিল।",Simple,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['টর্নেডো', 'আঘাত', 'করার', 'পরে', 'খুব', 'কম', 'লোক', 'দাঁড়িয়ে', 'ছিল।']"
আমি আশা করি যাদুঘরটি খুব আকর্ষণীয় ছিল,Simple,"['সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া']","['আমি', 'আশা', 'করি', 'যাদুঘরটি', 'খুব', 'আকর্ষণীয়', 'ছিল']"
সবাই আসলো এবং কেটি তার ক্যাপুচিনোতে চুমুক দিল।,Compound,"['সর্বনাম', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সবাই', 'আসলো', 'এবং', 'কেটি', 'তার', 'ক্যাপুচিনোতে', 'চুমুক', 'দিল।']"
আমি কাজের জন্য দেরী করছিলাম বলে তাই সাথে তুচ্ছ ছিলাম।,Compound,"['সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['আমি', 'কাজের', 'জন্য', 'দেরী', 'করছিলাম', 'বলে', 'তাই', 'সাথে', 'তুচ্ছ', 'ছিলাম।']"
আমার কফি খুব ঠান্ডা ছিল এবং এটি মাইক্রোওয়েভে গরম করেছিলাম।,Compound,"['সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['আমার', 'কফি', 'খুব', 'ঠান্ডা', 'ছিল', 'এবং', 'এটি', 'মাইক্রোওয়েভে', 'গরম', 'করেছিলাম।']"
তিনি ধনী ছিলেন কিন্তু তিনি অসুখী ছিলেন।,Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'ধনী', 'ছিলেন', 'কিন্তু', 'তিনি', 'অসুখী', 'ছিলেন।']"
কম্পিউটারটি নষ্ট হয়ে যায় এবং তিনি সেটি ফিরিয়ে দেন।,Compound,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['কম্পিউটারটি', 'নষ্ট', 'হয়ে', 'যায়', 'এবং', 'তিনি', 'সেটি', 'ফিরিয়ে', 'দেন।']"
"আমাকে ট্রেন ধরতে হয়েছিল, এবং আমার সময় কম ",Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ']","['আমাকে', 'ট্রেন', 'ধরতে', 'হয়েছিল', 'এবং', 'আমার', 'সময়', 'কম']"
"পণ্যের দাম বাড়ে, ফলে গ্রাহকরা কম কেনেন।",Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['পণ্যের', 'দাম', 'বাড়ে', 'ফলে', 'গ্রাহকরা', 'কম', 'কেনেন।']"
দআমরা তাড়াতাড়ির করেছি তাই আমার টুথব্রাশ প্যাক করতে ভুলে গিয়েছিলাম।,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['দআমরা', 'তাড়াতাড়ির', 'করেছি', 'তাই', 'আমার', 'টুথব্রাশ', 'প্যাক', 'করতে', 'ভুলে', 'গিয়েছিলাম।']"
"তিনি উচ্চাকাঙ্ক্ষী ছিলেন, সেজন্য তিনি অল্প সময়ের মধ্যেই একজন ম্যানেজার হয়েছিলেন।",Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['তিনি', 'উচ্চাকাঙ্ক্ষী', 'ছিলেন', 'সেজন্য', 'তিনি', 'অল্প', 'সময়ের', 'মধ্যেই', 'একজন', 'ম্যানেজার', 'হয়েছিলেন।']"
আপনি সব জায়গায় যাবেন এবং সর্বদা সৌন্দর্য খুঁজে পেতে পারেন।,Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['আপনি', 'সব', 'জায়গায়', 'যাবেন', 'এবং', 'সর্বদা', 'সৌন্দর্য', 'খুঁজে', 'পেতে', 'পারেন।']"
চিরসবুজ গাছগুলি উর্বরতার প্রতীক কারণ শীতকালে তারা মারা যায় না।,Compound,"['বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['চিরসবুজ', 'গাছগুলি', 'উর্বরতার', 'প্রতীক', 'কারণ', 'শীতকালে', 'তারা', 'মারা', 'যায়', 'না।']"
"মুভিট অনেক দীর্ঘ ছিল, কিন্তু উপভোগ্য ছিল।",Compound,"['বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['মুভিট', 'অনেক', 'দীর্ঘ', 'ছিল', 'কিন্তু', 'উপভোগ্য', 'ছিল।']"
গাড়িটি সার্ভিসিং করা দরকার অন্যথায় এটি অদ্ভুত শব্দ করবে,Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['গাড়িটি', 'সার্ভিসিং', 'করা', 'দরকার', 'অন্যথায়', 'এটি', 'অদ্ভুত', 'শব্দ', 'করবে']"
ছোট হলেও সিনেমায় অংশ পেয়ে খুশি অভিনেতা।,Compound,"['বিশেষণ', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'বিশেষ্য']","['ছোট', 'হলেও', 'সিনেমায়', 'অংশ', 'পেয়ে', 'খুশি', 'অভিনেতা।']"
টর্নেডো আঘাত করলো কিন্তু কম লোকেই দাঁড়িয়ে ছিল।,Compound,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['টর্নেডো', 'আঘাত', 'করলো', 'কিন্তু', 'কম', 'লোকেই', 'দাঁড়িয়ে', 'ছিল।']"
"যাদুঘরটি খুব আকর্ষণীয় ছিল, যেমনটি আমি আশা করি।",Compound,"['বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['যাদুঘরটি', 'খুব', 'আকর্ষণীয়', 'ছিল', 'যেমনটি', 'আমি', 'আশা', 'করি।']"
যখন সবাই আসলো তখন কেটি তার ক্যাপুচিনোতে চুমুক দিল।,Complex,"['অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'সবাই', 'আসলো', 'তখন', 'কেটি', 'তার', 'ক্যাপুচিনোতে', 'চুমুক', 'দিল।']"
যখন আমি কাজের জন্য দেরি করছিলাম তখন তুচ্ছ ছিলাম।,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'আমি', 'কাজের', 'জন্য', 'দেরি', 'করছিলাম', 'তখন', 'তুচ্ছ', 'ছিলাম।']"
যখন আমার কফি খুব ঠান্ডা ছিল তখন এটি মাইক্রোওয়েভে গরম করেছিলাম।,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'আমার', 'কফি', 'খুব', 'ঠান্ডা', 'ছিল', 'তখন', 'এটি', 'মাইক্রোওয়েভে', 'গরম', 'করেছিলাম।']"
"যদিও তিনি ধনী ছিলেন, তবুও তিনি অসুখী ছিলেন।",Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যদিও', 'তিনি', 'ধনী', 'ছিলেন', 'তবুও', 'তিনি', 'অসুখী', 'ছিলেন।']"
যখন কম্পিউটারটি নষ্ট হয়ে যায় তখন তিনি সেটি ফিরিয়ে দেন।,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'কম্পিউটারটি', 'নষ্ট', 'হয়ে', 'যায়', 'তখন', 'তিনি', 'সেটি', 'ফিরিয়ে', 'দেন।']"
যখন আমার সময় কম তখন আমাকে ট্রেন ধরতে হয়েছিল,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'আমার', 'সময়', 'কম', 'তখন', 'আমাকে', 'ট্রেন', 'ধরতে', 'হয়েছিল']"
"যখন দাম বাড়ে, তখন গ্রাহকরা কম পণ্য কেনেন।",Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'দাম', 'বাড়ে', 'তখন', 'গ্রাহকরা', 'কম', 'পণ্য', 'কেনেন।']"
যেহেতু আমরা তাড়াতাড়ির করেছি সেহেতু আমার টুথব্রাশ প্যাক করতে ভুলে গিয়েছিলাম।,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['যেহেতু', 'আমরা', 'তাড়াতাড়ির', 'করেছি', 'সেহেতু', 'আমার', 'টুথব্রাশ', 'প্যাক', 'করতে', 'ভুলে', 'গিয়েছিলাম।']"
"যেহেতু উচ্চাকাঙ্ক্ষী ছিলেন, সেহেতু তিনি অল্প সময়ের মধ্যেই একজন ম্যানেজার হয়েছিলেন।",Complex,"['অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['যেহেতু', 'উচ্চাকাঙ্ক্ষী', 'ছিলেন', 'সেহেতু', 'তিনি', 'অল্প', 'সময়ের', 'মধ্যেই', 'একজন', 'ম্যানেজার', 'হয়েছিলেন।']"
"আপনি যেখানে যাবেন , সেখানে সর্বদা সৌন্দর্য খুঁজে পেতে পারেন।",Complex,"['সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['আপনি', 'যেখানে', 'যাবেন', 'সেখানে', 'সর্বদা', 'সৌন্দর্য', 'খুঁজে', 'পেতে', 'পারেন।']"
যেহেতু চিরসবুজ গাছগুলি উর্বরতার প্রতীক সেহেতু শীতকালে তারা মারা যায় না।,Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['যেহেতু', 'চিরসবুজ', 'গাছগুলি', 'উর্বরতার', 'প্রতীক', 'সেহেতু', 'শীতকালে', 'তারা', 'মারা', 'যায়', 'না।']"
"যদিও এটি অনেক দীর্ঘ ছিল, তবুও মুভিটি উপভোগ্য ছিল।",Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যদিও', 'এটি', 'অনেক', 'দীর্ঘ', 'ছিল', 'তবুও', 'মুভিটি', 'উপভোগ্য', 'ছিল।']"
যেহেতু গাড়িটি অদ্ভুত শব্দ করছে সেহেতু গাড়িটি সার্ভিসিং করা দরকার,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ']","['যেহেতু', 'গাড়িটি', 'অদ্ভুত', 'শব্দ', 'করছে', 'সেহেতু', 'গাড়িটি', 'সার্ভিসিং', 'করা', 'দরকার']"
যদিও ছোট সে সিনেমায় তবুও পেয়ে খুশি অভিনেতা।,Complex,"['অব্যয়', 'বিশেষণ', 'সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'বিশেষণ', 'বিশেষ্য']","['যদিও', 'ছোট', 'সে', 'সিনেমায়', 'তবুও', 'পেয়ে', 'খুশি', 'অভিনেতা।']"
যখন টর্নেডো আঘাত করেছিলো তখন খুব কম লোকেই দাঁড়িয়ে ছিল।,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'টর্নেডো', 'আঘাত', 'করেছিলো', 'তখন', 'খুব', 'কম', 'লোকেই', 'দাঁড়িয়ে', 'ছিল।']"
যেমনটি আমি আশা করি তেমন যাদুঘরটি খুব আকর্ষণীয় ছিল,Complex,"['অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া']","['যেমনটি', 'আমি', 'আশা', 'করি', 'তেমন', 'যাদুঘরটি', 'খুব', 'আকর্ষণীয়', 'ছিল']"
বিখ্যাত হওয়ার কারনে লোকেরা তার আদর্শের জন্য ভাতা দেয়,Simple,"['বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['বিখ্যাত', 'হওয়ার', 'কারনে', 'লোকেরা', 'তার', 'আদর্শের', 'জন্য', 'ভাতা', 'দেয়']"
সে পুঙ্খানুপুঙ্খভাবে প্রশিক্ষিত হয়েও সে অনেক ভুল করে।,Simple,"['সর্বনাম', 'অব্যয়', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['সে', 'পুঙ্খানুপুঙ্খভাবে', 'প্রশিক্ষিত', 'হয়েও', 'সে', 'অনেক', 'ভুল', 'করে।']"
শীত এসেছে বলেই আমি একটি উষ্ণ সোয়েটার বুনবো,Simple,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['শীত', 'এসেছে', 'বলেই', 'আমি', 'একটি', 'উষ্ণ', 'সোয়েটার', 'বুনবো']"
ছোট থাকার কারনে তিনি রূপকথায় বিশ্বাস করতেন।,Simple,"['বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['ছোট', 'থাকার', 'কারনে', 'তিনি', 'রূপকথায়', 'বিশ্বাস', 'করতেন।']"
দোকানে ফিরে আসলে আমাকে কুপন সংরক্ষণ করতে হবে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['দোকানে', 'ফিরে', 'আসলে', 'আমাকে', 'কুপন', 'সংরক্ষণ', 'করতে', 'হবে']"
আমার প্রথম ডেট ঢাকা থাকার কারনে আমরা চলে যাবো,Simple,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['আমার', 'প্রথম', 'ডেট', 'ঢাকা', 'থাকার', 'কারনে', 'আমরা', 'চলে', 'যাবো']"
বন্ধুরা অনুরোধ করা স্বত্তেও পুনর্মিলনে যাই নাই,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['বন্ধুরা', 'অনুরোধ', 'করা', 'স্বত্তেও', 'পুনর্মিলনে', 'যাই', 'নাই']"
সময়ের সাথে সাথে জিনের পরিবর্তনেরও বিবর্তনও হয়।,Simple,"['বিশেষ্য', 'অব্যয়', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['সময়ের', 'সাথে', 'সাথে', 'জিনের', 'পরিবর্তনেরও', 'বিবর্তনও', 'হয়।']"
অভিনয় ভালো হওয়া স্বত্তেও সিনেমাটি আমার ভালো লাগেনি।,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['অভিনয়', 'ভালো', 'হওয়া', 'স্বত্তেও', 'সিনেমাটি', 'আমার', 'ভালো', 'লাগেনি।']"
আলাদা থাকা স্বত্তেও তার প্রতি অনুভূতি ছিল।,Simple,"['বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['আলাদা', 'থাকা', 'স্বত্তেও', 'তার', 'প্রতি', 'অনুভূতি', 'ছিল।']"
দেরির একদিনের বেতন কাটা করা হবে।,Simple,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['দেরির', 'একদিনের', 'বেতন', 'কাটা', 'করা', 'হবে।']"
আমি বাস্কেটবল ভক্ত হওয়া স্বত্তেও ফুটবল পছন্দ করি।,Simple,"['সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['আমি', 'বাস্কেটবল', 'ভক্ত', 'হওয়া', 'স্বত্তেও', 'ফুটবল', 'পছন্দ', 'করি।']"
আমি টেনিস ভক্ত হওয়া স্বত্তেও কাবাডি পছন্দ করি।,Simple,"['সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['আমি', 'টেনিস', 'ভক্ত', 'হওয়া', 'স্বত্তেও', 'কাবাডি', 'পছন্দ', 'করি।']"
স্মার্ট হওয়া স্বত্তেও সে তার সমস্ত পরীক্ষায় ফেল করেছিল।,Simple,"['বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['স্মার্ট', 'হওয়া', 'স্বত্তেও', 'সে', 'তার', 'সমস্ত', 'পরীক্ষায়', 'ফেল', 'করেছিল।']"
